Rm [MPa];b;c;K_p [MPa];n_p;sig_f_p [MPa];eps_f_p
378;-0.142;-0.649;781;0.18;1159;1.3
490;-0.124;-0.701;561;0.18;1019;1.45
321;-0.137;-0.505;1208;0.26;888;0.28
356;-0.129;-0.536;834;0.2;878;0.46
323;-0.151;-0.509;1254;0.27;1024;0.29
359;-0.126;-0.466;626;0.17;776;0.24
363;-0.143;-0.522;1706;0.24;1225;0.35
399;-0.136;-0.473;958;0.22;1016;0.21
331;-0.172;-0.543;1443;0.318;1124;0.46
365;-0.159;-0.5402;1234;0.29;1007;0.5
331;-0.1;-0.408;867;0.244;499;0.104
414;-0.124;-0.581;945;0.213;884;0.729
393;-0.116;-0.405;1233;0.286;697;0.136
547;-0.107;-0.52;1042;0.207;934;0.59
641;-0.172;-0.86;865;0.14;2034;3.67
623;-0.152;-0.729;838;0.09;1491;1.56
759;-0.103;-0.612;915;0.131;1311;0.848
802;-0.092;-0.577;1371;0.15;1287;0.316
752;-0.079;-0.52;1022;0.152;916;0.486
2241;-0.104;0.868;3947;0.12;3294;0.22
718;-0.127;-0.522;1401;0.212;1439;0.525
1956;-0.086;-0.551;3366;0.157;2636;0.21
1344;-0.086;-0.825;1751;0.104;1785;1.207
1048;-0.063;-0.832;1089;0.076;1204;3.709
834;-0.063;-0.753;858;0.083;922;2.377
834;-0.043;-0.738;809;0.058;841;1.928
847;-0.057;-0.784;903;0.072;938;1.689
916;-0.059;-0.782;1026;0.075;1062;1.575
370;-0.103;-0.477;596;0.134;753;0.222
416;-0.117;-0.676;694;0.132;112;0.94
442;-0.074;-0.54;761;0.129;686;0.337
441;-0.09;-0.703;684;0.124;732;1.384
461;-0.055;-0.563;632;0.092;889;0.345
448;-0.102;-0.794;745;0.116;959;3.189
448;-0.116;-0.79;785;0.127;1988;2.828
479;-0.102;-0.622;1014;0.151;1000;0.563
474;-0.143;-0.807;694;0.11;1378;3.091
490;-0.047;-0.883;481;0.049;536;4.118
496;-0.057;-0.787;516;0.64;571;2.046
481;-0.091;-0.75;687;0.094;895;0.967
479;-0.109;-0.67;1029;0.143;1113;0.754
525;-0.105;-0.598;1152;0.163;1074;0.429
534;-0.091;-0.552;2234;0.161;913;0.226
533;-0.063;-0.598;792;0.103;744;0.451
558;-0.88;-0.705;876;0.106;976;1.007
501;-0.053;-0.81;531;0.068;572;20.116
570;-0.123;-0.904;937;0.101;1461;6.052
628;-0.104;-0.843;1251;0.173;1230;4.202
617;-0.108;-0.771;1125;0.122;1239;1.053
697;-0.105;-0.861;1287;0.118;1428;1.816
756;-0.152;-0.934;1389;0.133;2126;3.217
654;-0.091;-0.717;1091;0.124;1145;1.104
645;-0.113;-0.958;1122;0.17;1451;5.289
635;-0.112;-0.82;984;0.1;1379;1.979
657;-0.119;-0.826;981;0.096;1512;2.214
681;-0.134;-0.83;1387;0.139;1818;1.641
719;-0.131;-0.985;1285;0.115;2008;7.185
711;-0.118;-0.67;1061;0.117;1704;0.764
306;-0.116;-0.437;832;0.234;607;0.125
292;-0.083;-0.43;641;0.201;430;0.066
303;-0.103;-0.428;635;0.178;564;0.122
307;-0.105;-0.45;694;0.196;607;0.155
321;-0.134;-0.418;824;0.214;875;0.142
554;-0.095;-0.366;935;0.174;912;0.127
747;-0.173;-0.548;2221;0.267;2744;0.448
351;-0.089;-0.956;419;0.088;561;15.24
1427;-0.076;-0.672;1696;0.114;1655;0.803
896;-0.077;-0.648;1264;0.119;1261;0.985
938;-0.062;-0.765;1084;0.082;1163;2.36
2033;-0.07;-0.867;1974;0.081;1832;0.4
1551;-0.084;-0.859;1756;0.098;1787;1.195
1929;-0.086;-0.972;1910;0.088;2079;2.62
1413;-0.094;-0.761;2266;0.124;2143;0.637
1757;-0.076;-0.869;1997;0.088;1937;0.706
1929;-0.081;-0.854;2399;0.094;2161;0.331
1468;-0.0859;-0.636;1996;0.135;1879;0.64
827;-0.095;-0.563;1337;0.168;1198;0.522
1171;-0.058;-0.85;1037;0.069;1165;0.5492
1584;-0.081;-0.821;1964;0.099;2054;1.571
1755;-0.125;-1.095;2065;0.089;3553;11.532
2108;-0.15;-1.442;2799;0.09;4585;35.56
